title,price,address,latitude,longitude,guests,type,url
"3-к. квартира, 74 м², 3 кровати",2850,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 204",51.52019119,104.1570511,1,apartment,https://www.avito.ru/baykalsk/kvartiry/3-k._kvartira_74_m_3_krovati_2865755574?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 33 м², 2 кровати",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 187",51.51676178,104.1482544,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_33_m_2_krovati_7783661545?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 33 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 32",51.5165329,104.1469193,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_33_m_2_krovati_7328317862?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 36 м², 3 кровати",2300,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, Железнодорожная ул., 13",51.51984641500835,104.13524147983824,1,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_36_m_3_krovati_4501702198?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"Квартира-студия, 44 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 158",51.520843505859375,104.15442414851731,4,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_44_m_2_krovati_3527681860?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"3-к. квартира, 62 м², 5 кроватей",3600,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, Байкальская ул., 32",51.524255,104.132914,1,apartment,https://www.avito.ru/baykalsk/kvartiry/3-k._kvartira_62_m_5_krovatey_3270704849?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 33,1 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 190",51.516527,104.151069,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_331_m_2_krovati_2496128857?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 33 м², 2 кровати",5000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 193",51.51720047,104.1535492,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_33_m_2_krovati_7764378427?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4VWZoZ2lOUHNySzVxQmlOIjt9Fs2DqT8AAAA
"2-к. квартира, 50 м², 3 кровати",2200,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 173",51.51994980455475,104.15064820197591,2,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_50_m_3_krovati_2705195182?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4VWZoZ2lOUHNySzVxQmlOIjt9Fs2DqT8AAAA
"1-к. квартира, 34 м², 2 кровати",2200,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 203",51.51963806,104.1566925,2,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_34_m_2_krovati_3487639633?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4VWZoZ2lOUHNySzVxQmlOIjt9Fs2DqT8AAAA
"Квартира-студия, 36 м², 2 кровати",2300,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 2",51.52209854,104.1511307,1,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_36_m_2_krovati_7344010874?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ4VWZoZ2lOUHNySzVxQmlOIjt9Fs2DqT8AAAA
